x,y,z,s,t,w
153,104,185,672,680,697
672,104,680,153,185,697
520,117,533,756,765,925
756,117,765,520,533,925
448,840,952,495,975,1073
495,840,975,448,952,1073
264,495,561,952,1073,1105
264,448,520,975,1073,1105
952,495,1073,264,561,1105
975,448,1073,264,520,1105
306,208,370,1344,1360,1394
1344,208,1360,306,370,1394
1040,234,1066,1512,1530,1850
1512,234,1530,1040,1066,1850
459,312,555,2016,2040,2091
2016,312,2040,459,555,2091
896,1680,1904,990,1950,2146
990,1680,1950,896,1904,2146
644,333,725,2040,2067,2165
2040,333,2067,644,725,2165
528,990,1122,1904,2146,2210
528,896,1040,1950,2146,2210
1904,990,2146,528,1122,2210
1950,896,2146,528,1040,2210
1092,1881,2175,1540,2431,2665
1540,1881,2431,1092,2175,2665
1560,351,1599,2268,2295,2775
2268,351,2295,1560,1599,2775
612,416,740,2688,2720,2788
2688,416,2720,612,740,2788
1344,2520,2856,1485,2925,3219
1485,2520,2925,1344,2856,3219
1925,1680,2555,2052,2652,3277
2052,1680,2652,1925,2555,3277
792,1485,1683,2856,3219,3315
792,1344,1560,2925,3219,3315
2856,1485,3219,792,1683,3315
2925,1344,3219,792,1560,3315
533,756,925,3360,3444,3485
765,520,925,3360,3400,3485
1428,1771,2275,2640,3179,3485
2261,252,2275,2640,2652,3485
2640,1771,3179,1428,2275,3485
2640,252,2652,2261,2275,3485
3360,756,3444,533,925,3485
3360,520,3400,765,925,3485
2080,468,2132,3024,3060,3700
3024,468,3060,2080,2132,3700
840,3627,3723,1364,3875,3965
1364,3627,3875,840,3723,3965
819,1680,1869,3740,4100,4181
3740,1680,4100,819,1869,4181
918,624,1110,4032,4080,4182
4032,624,4080,918,1110,4182
468,399,615,4180,4199,4225
4180,399,4199,468,615,4225
1792,3360,3808,1980,3900,4292
1980,3360,3900,1792,3808,4292
1288,666,1450,4080,4134,4330
4080,666,4134,1288,1450,4330
1056,1980,2244,3808,4292,4420
1056,1792,2080,3900,4292,4420
3808,1980,4292,1056,2244,4420
3900,1792,4292,1056,2080,4420
2275,2640,3485,2772,3828,4453
2772,2640,3828,2275,3485,4453
2600,585,2665,3780,3825,4625
3780,585,3825,2600,2665,4625
1071,728,1295,4704,4760,4879
4704,728,4760,1071,1295,4879
2184,3762,4350,3080,4862,5330
3080,3762,4862,2184,4350,5330
2240,4200,4760,2475,4875,5365
2475,4200,4875,2240,4760,5365
1320,2475,2805,4760,5365,5525
1320,2240,2600,4875,5365,5525
2880,1932,3468,4301,4715,5525
4301,1932,4715,2880,3468,5525
4760,2475,5365,1320,2805,5525
4875,2240,5365,1320,2600,5525
3120,702,3198,4536,4590,5550
4536,702,4590,3120,3198,5550
1224,832,1480,5376,5440,5576
5376,832,5440,1224,1480,5576
3404,1680,3796,4653,4947,6005
4653,1680,4947,3404,3796,6005
1377,936,1665,6048,6120,6273
6048,936,6120,1377,1665,6273
2688,5040,5712,2970,5850,6438
2970,5040,5850,2688,5712,6438
3640,819,3731,5292,5355,6475
5292,819,5355,3640,3731,6475
1932,999,2175,6120,6201,6495
6120,999,6201,1932,2175,6495
3850,3360,5110,4104,5304,6554
4104,3360,5304,3850,5110,6554
1584,2970,3366,5712,6438,6630
1584,2688,3120,5850,6438,6630
5712,2970,6438,1584,3366,6630
5850,2688,6438,1584,3120,6630
1066,1512,1850,6720,6888,6970
1530,1040,1850,6720,6800,6970
2856,3542,4550,5280,6358,6970
4522,504,4550,5280,5304,6970
5280,3542,6358,2856,4550,6970
5280,504,5304,4522,4550,6970
6720,1512,6888,1066,1850,6970
6720,1040,6800,1530,1850,6970
357,1276,1325,6960,7076,7085
6960,1276,7076,357,1325,7085
4160,936,4264,6048,6120,7400
6048,936,6120,4160,4264,7400
3136,5880,6664,3465,6825,7511
3465,5880,6825,3136,6664,7511
1665,6048,6273,4264,7400,7585
4264,6048,7400,1665,6273,7585
1683,1144,2035,7392,7480,7667
7392,1144,7480,1683,2035,7667
1848,3465,3927,6664,7511,7735
1848,3136,3640,6825,7511,7735
6664,3465,7511,1848,3927,7735
6825,3136,7511,1848,3640,7735
1680,7254,7446,2728,7750,7930
